Source,Records,ID,Title,First Name,Last Name,Suffix,Email Address,Phone Number,Street Address,City,Zip Code,State,Country,Sex,Age,key,Unified Attributes (which together define a Unified Schema)
source11,2000000,p_id,title,Firstname,Lastname,S,E_MAIL,PHONE_NUMBER,STREET_ADDRESS,CITY,ZIP_CODE,ST,CO.,GENDER,y,21,
source11,2000000,p_id,title,Firstname,Lastname,S,E_MAIL,PHONE_NUMBER,STREET_ADDRESS,CITY,ZIP_CODE,ST,CO.,GENDER,y,46,
source11,2000000,p_id,title,Firstname,Lastname,S,E_MAIL,PHONE_NUMBER,STREET_ADDRESS,CITY,ZIP_CODE,ST,CO.,GENDER,y,71,
source22,1000000,priID,tITLE,name,,SUFFIX,E-MAIL,PHONE-NUMBER,STREET-ADDRESS,CITY,ZIP-CODE,str,COUNTR,GENDER,YEARS,10,
source22,1000000,priID,tITLE,name,,SUFFIX,E-MAIL,PHONE-NUMBER,STREET-ADDRESS,CITY,ZIP-CODE,str,COUNTR,GENDER,YEARS,35,
source22,1000000,priID,tITLE,name,,SUFFIX,E-MAIL,PHONE-NUMBER,STREET-ADDRESS,CITY,ZIP-CODE,str,COUNTR,GENDER,YEARS,60,
source13,500000,pID,title,fName,lName,Suff,Email Address,Phone Number,Street Address,City,Zip Code,ST.,co.,G,AGE.,19,
MySQL_DB,500000,id,title,First Name,Last Name,,,,,,,,,Sex,Age,23,
source13,500000,pID,title,fName,lName,Suff,Email Address,Phone Number,Street Address,City,Zip Code,ST.,co.,G,AGE.,44,
MySQL_DB,500000,id,title,First Name,Last Name,,,,,,,,,Sex,Age,48,
source13,500000,pID,title,fName,lName,Suff,Email Address,Phone Number,Street Address,City,Zip Code,ST.,co.,G,AGE.,69,
MySQL_DB,500000,id,title,First Name,Last Name,,,,,,,,,Sex,Age,73,
source7,100000,PiD,t,firstname,lastname,suff,e-mail,phone-number,,city,zip-code,st,co,g,years,2,
source18,100000,id,Title,FIRST_NAME,LIRST_NAME,S,Email,Phonenumber,Streetaddress,City,Zipcode,Street,nat.,sx.,yearsofage,14,
source12,100000,ID,title,fname,lname,suff,email,PHONE,STREET,CITY,ZIP,St.,Co.,GEND,AGE,20,
ExcelSheet,100000,id,title,first name,,suffix,email Address,phone Number,street Address,city,zip Code,state,country,sex,age,24,Source Attributes (which together within a source define a local or source schema)
source7,100000,PiD,t,firstname,lastname,suff,e-mail,phone-number,,city,zip-code,st,co,g,years,27,
source18,100000,id,Title,FIRST_NAME,LIRST_NAME,S,Email,Phonenumber,Streetaddress,City,Zipcode,Street,nat.,sx.,yearsofage,39,
source12,100000,ID,title,fname,lname,suff,email,PHONE,STREET,CITY,ZIP,St.,Co.,GEND,AGE,45,
ExcelSheet,100000,id,title,first name,,suffix,email Address,phone Number,street Address,city,zip Code,state,country,sex,age,49,Source Attributes (which together within a source define a local or source schema)
source7,100000,PiD,t,firstname,lastname,suff,e-mail,phone-number,,city,zip-code,st,co,g,years,52,
source18,100000,id,Title,FIRST_NAME,LIRST_NAME,S,Email,Phonenumber,Streetaddress,City,Zipcode,Street,nat.,sx.,yearsofage,64,
source12,100000,ID,title,fname,lname,suff,email,PHONE,STREET,CITY,ZIP,St.,Co.,GEND,AGE,70,
ExcelSheet,100000,id,title,first name,,suffix,email Address,phone Number,street Address,city,zip Code,state,country,sex,age,74,Source Attributes (which together within a source define a local or source schema)
source21,90000,priID,tITLE,first,last,SUFFIX,EMAIL,PHONENUMBER,STREETADDRESS,CITY,ZIPCODE,Str,COUNTRY,GEND,AGE,11,
source10,90000,PId,,FirstName,LastName,SUFFIX,E-MAIL,PHONE-NUMBER,STREET-ADDRESS,CITY,ZIP-CODE,ST,COUNT,SEX,Y,22,
source21,90000,priID,tITLE,first,last,SUFFIX,EMAIL,PHONENUMBER,STREETADDRESS,CITY,ZIPCODE,Str,COUNTRY,GEND,AGE,36,
source10,90000,PId,,FirstName,LastName,SUFFIX,E-MAIL,PHONE-NUMBER,STREET-ADDRESS,CITY,ZIP-CODE,ST,COUNT,SEX,Y,47,
source21,90000,priID,tITLE,first,last,SUFFIX,EMAIL,PHONENUMBER,STREETADDRESS,CITY,ZIPCODE,Str,COUNTRY,GEND,AGE,61,
source10,90000,PId,,FirstName,LastName,SUFFIX,E-MAIL,PHONE-NUMBER,STREET-ADDRESS,CITY,ZIP-CODE,ST,COUNT,SEX,Y,72,
source24,80000,permID,TITLE,nameFirst,nameLast,suffix,email,phonenumber,streetaddress,city,zipcode,STR.,count.,sex,age.,8,
source24,80000,permID,TITLE,nameFirst,nameLast,suffix,email,phonenumber,streetaddress,city,zipcode,STR.,count.,sex,age.,33,
source24,80000,permID,TITLE,nameFirst,nameLast,suffix,email,phonenumber,streetaddress,city,zipcode,STR.,count.,sex,age.,58,
source6,50000,pid,Title,First name,Last name,Suff,Email,PhoneNumber,StreetAddress,City,ZipCode,State,Country,S,A,3,
source3,50000,id,title,First Name,Last Name,suffix,email address,phone number,street address,city,zip code,,country,gender,age,6,The Entity Type is Customers
source17,50000,id,Title,first_Name,last_Name,suff,email,phone,street,city,zip,street,natio,Sx,yearsOfAge,15,
source14,50000,primaryID,title,firstName,lastName,Suff,Email Address,Phone Number,Street Address,City,Zip Code,St.,NATION,sexGender,YEARS.,18,
source6,50000,pid,Title,First name,Last name,Suff,Email,PhoneNumber,StreetAddress,City,ZipCode,State,Country,S,A,28,
source3,50000,id,title,First Name,Last Name,suffix,email address,phone number,street address,city,zip code,,country,gender,age,31,The Entity Type is Customers
source17,50000,id,Title,first_Name,last_Name,suff,email,phone,street,city,zip,street,natio,Sx,yearsOfAge,40,
source14,50000,primaryID,title,firstName,lastName,Suff,Email Address,Phone Number,Street Address,City,Zip Code,St.,NATION,sexGender,YEARS.,43,
source6,50000,pid,Title,First name,Last name,Suff,Email,PhoneNumber,StreetAddress,City,ZipCode,State,Country,S,A,53,
source3,50000,id,title,First Name,Last Name,suffix,email address,phone number,street address,city,zip code,,country,gender,age,56,The Entity Type is Customers
source17,50000,id,Title,first_Name,last_Name,suff,email,phone,street,city,zip,street,natio,Sx,yearsOfAge,65,
source14,50000,primaryID,title,firstName,lastName,Suff,Email Address,Phone Number,Street Address,City,Zip Code,St.,NATION,sexGender,YEARS.,68,
source5,40000,ID,Title,first Name,last Name,suff,email,phonenumber,streetaddress,city,zipcode,state,country,s,a,4,
source4,40000,ID,title,first name,last name,suffix,email_address,phone_number,street_address,city,zip_code,st,country,Gender,Age,5,
source16,40000,primary id,Title,firstName,lastName,suff,email_address,phone_number,street_address,city,,street,nation,sx,DOB,16,
source15,40000,primary_ID,Title,firstN,lastN,suff,email address,phone number,street address,city,zip code,st.,nation,genderSex,dob,17,
source5,40000,ID,Title,first Name,last Name,suff,email,phonenumber,streetaddress,city,zipcode,state,country,s,a,29,
source4,40000,ID,title,first name,last name,suffix,email_address,phone_number,street_address,city,zip_code,st,country,Gender,Age,30,
source16,40000,primary id,Title,firstName,lastName,suff,email_address,phone_number,street_address,city,,street,nation,sx,DOB,41,
source15,40000,primary_ID,Title,firstN,lastN,suff,email address,phone number,street address,city,zip code,st.,nation,genderSex,dob,42,
source5,40000,ID,Title,first Name,last Name,suff,email,phonenumber,streetaddress,city,zipcode,state,country,s,a,54,
source4,40000,ID,title,first name,last name,suffix,email_address,phone_number,street_address,city,zip_code,st,country,Gender,Age,55,
source16,40000,primary id,Title,firstName,lastName,suff,email_address,phone_number,street_address,city,,street,nation,sx,DOB,66,
source15,40000,primary_ID,Title,firstN,lastN,suff,email address,phone number,street address,city,zip code,st.,nation,genderSex,dob,67,
source23,7000,uniqueID,TITLE,,name,SUFFIX,E_MAIL,PHONE_NUMBER,STREET_ADDRESS,CITY,ZIP_CODE,str.,COUNT,G.,Y.,9,
source23,7000,uniqueID,TITLE,,name,SUFFIX,E_MAIL,PHONE_NUMBER,STREET_ADDRESS,CITY,ZIP_CODE,str.,COUNT,G.,Y.,34,
source23,7000,uniqueID,TITLE,,name,SUFFIX,E_MAIL,PHONE_NUMBER,STREET_ADDRESS,CITY,ZIP_CODE,str.,COUNT,G.,Y.,59,
source9,1000,PID,ttl,firstName,lastName,SUFFIX,EMAIL,PHONENUMBER,STREETADDRESS,CITY,ZIPCODE,STATE,COUNTRY,SEX,year,0,
source20,1000,ID,TITLE,FIRST,LIRST,Suffix,E-Mail,Phone-Number,Street-Address,City,Zip-Code,STR,country,gend,age,12,
source9,1000,PID,ttl,firstName,lastName,SUFFIX,EMAIL,PHONENUMBER,STREETADDRESS,CITY,ZIPCODE,STATE,COUNTRY,SEX,year,25,
source20,1000,ID,TITLE,FIRST,LIRST,Suffix,E-Mail,Phone-Number,Street-Address,City,Zip-Code,STR,country,gend,age,37,
source9,1000,PID,ttl,firstName,lastName,SUFFIX,EMAIL,PHONENUMBER,STREETADDRESS,CITY,ZIPCODE,STATE,COUNTRY,SEX,year,50,
source20,1000,ID,TITLE,FIRST,LIRST,Suffix,E-Mail,Phone-Number,Street-Address,City,Zip-Code,STR,country,gend,age,62,
source8,200,PID,t,firsstName,lirsstName,Suffix,E-Mail,,,City,Zip-Code,ST,CO,G,Years,1,
source19,200,ID,TITLE,FIRSTNAME,LIRSTNAME,,e-mail,phone-number,street-address,city,zip-code,st,NAT,gend.,years,13,
source8,200,PID,t,firsstName,lirsstName,Suffix,E-Mail,,,City,Zip-Code,ST,CO,G,Years,26,
source19,200,ID,TITLE,FIRSTNAME,LIRSTNAME,,e-mail,phone-number,street-address,city,zip-code,st,NAT,gend.,years,38,
source8,200,PID,t,firsstName,lirsstName,Suffix,E-Mail,,,City,Zip-Code,ST,CO,G,Years,51,
source19,200,ID,TITLE,FIRSTNAME,LIRSTNAME,,e-mail,phone-number,street-address,city,zip-code,st,NAT,gend.,years,63,
source25,100,permid,title,name_First,name_Last,s,mail,number,address,city,code,s,c,g,a,7,
source25,100,permid,title,name_First,name_Last,s,mail,number,address,city,code,s,c,g,a,32,
source25,100,permid,title,name_First,name_Last,s,mail,number,address,city,code,s,c,g,a,57,
